Account,Posting Account,Value Date,Cusip,Security Description,Symbol,Sedol,ISIN,Currency,Country,Bal Type,Type,Temp,Shares,Collateral Price,Collateral Value,Base Rate,Gross Rebate,Stock Loan Fee,Stock Loan Cost,Net Rebate Rate,Net Rebate ,Net Fee ,Net Borrow Cost,Closing Price,Base Collateral Price,Base Collateral Value,Base Gross Rebate,Base Stock Loan Cost,Base Net Rebate,Base Net Borrow Cost,Account Type,RIC,Total Base Stock Loan Cost,Total Base Net Rebate,Total Base Net Borrow Cost
038RAE1J4,038CAESR0,23-Aug-22,172908105,CINTAS CORP,CTAS,2197137,US1729081059,USD,USA,SD,S,C,804,428.01,344120.04,2.33,22.27,-0.275,-2.63,2.055,19.64,0,0,428.01,428.01,344120.04,22.27,-2.63,19.64,0,SHORT,CTAS.O,-66.4,496.05,0
038RAE1J4,038CAESR0,24-Aug-22,172908105,CINTAS CORP,CTAS,2197137,US1729081059,USD,USA,SD,S,C,804,429.12,345012.48,2.33,22.33,-0.275,-2.64,2.055,19.69,0,0,429.12,429.12,345012.48,22.33,-2.64,19.69,0,SHORT,CTAS.O,-69.04,515.74,0
038RAE1J4,038CAESR0,25-Aug-22,172908105,CINTAS CORP,CTAS,2197137,US1729081059,USD,USA,SD,S,C,804,433.33,348397.32,2.33,22.55,-0.275,-2.66,2.055,19.89,0,0,433.33,433.33,348397.32,22.55,-2.66,19.89,0,SHORT,CTAS.O,-71.7,535.63,0
038RAE1J4,038CAESR0,26-Aug-22,172908105,CINTAS CORP,CTAS,2197137,US1729081059,USD,USA,SD,S,C,804,420.02,337696.08,2.33,21.86,-0.275,-2.58,2.055,19.28,0,0,420.02,420.02,337696.08,21.86,-2.58,19.28,0,SHORT,CTAS.O,-74.28,554.91,0
038RAE1J4,038CAESR0,27-Aug-22,172908105,CINTAS CORP,CTAS,2197137,US1729081059,USD,USA,SD,S,C,804,420.02,337696.08,2.33,21.86,-0.275,-2.58,2.055,19.28,0,0,420.02,420.02,337696.08,21.86,-2.58,19.28,0,SHORT,CTAS.O,-76.86,574.19,0
038RAE1J4,038CAESR0,28-Aug-22,172908105,CINTAS CORP,CTAS,2197137,US1729081059,USD,USA,SD,S,C,804,420.02,337696.08,2.33,21.86,-0.275,-2.58,2.055,19.28,0,0,420.02,420.02,337696.08,21.86,-2.58,19.28,0,SHORT,CTAS.O,-79.44,593.47,0
038RAE1J4,038CAESR0,29-Aug-22,172908105,CINTAS CORP,CTAS,2197137,US1729081059,USD,USA,SD,S,C,804,416,334464,2.33,21.65,-0.275,-2.55,2.055,19.09,0,0,416,416,334464,21.65,-2.55,19.09,0,SHORT,CTAS.O,-81.99,612.56,0
038RAE1J4,038CAESR0,30-Aug-22,172908105,CINTAS CORP,CTAS,2197137,US1729081059,USD,USA,SD,S,C,703,409.7,288019.1,2.33,18.64,-0.275,-2.2,2.055,16.44,0,0,409.7,409.7,288019.1,18.64,-2.2,16.44,0,SHORT,CTAS.O,-84.19,629,0
038RAE1J4,038CAESR0,31-Aug-22,172908105,CINTAS CORP,CTAS,2197137,US1729081059,USD,USA,SD,S,C,703,406.84,286008.52,2.33,18.51,-0.275,-2.18,2.055,16.33,0,0,406.84,406.84,286008.52,18.51,-2.18,16.33,0,SHORT,CTAS.O,-86.37,645.33,0
038RAE1J4,038CAESR0,1-Aug-22,18915M107,CLOUDFLARE INC - CLA SS A,NET,BJXC5M2,US18915M1071,USD,USA,SD,S,C,5944,51.16,304095.04,2.32,19.6,-0.275,-2.32,2.045,17.27,0,0,51.16,51.16,304095.04,19.6,-2.32,17.27,0,SHORT,NET.N,-2.32,17.27,0
038RAE1J4,038CAESR0,2-Aug-22,18915M107,CLOUDFLARE INC - CLA SS A,NET,BJXC5M2,US18915M1071,USD,USA,SD,S,C,5944,53.08,315507.52,2.33,20.42,-0.275,-2.41,2.055,18.01,0,0,53.08,53.08,315507.52,20.42,-2.41,18.01,0,SHORT,NET.N,-4.73,35.28,0
